위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.48399603,126.377102,시작. 구엄포구 주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.484294,126.377189,구엄옛등대,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.48480999,126.376716,오르막 시작,경사구간 : 6˚ / 19m . 1cm 턱 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48492902,126.376638,오르막 끝,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48497001,126.376136,오르막길 시작,경사구간 : 7˚ / 6m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48496699,126.376074,오르막길 끝,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48444102,126.375221,구엄항 방파제 등대,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.48367098,126.376754,장소,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.48364399,126.376638,고등어 조형물. 엄장해안길 안내판,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48340804,126.376425,소금빌레,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.48327803,126.376348,정자,계단5개 / 돌의자와 테이블,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48313303,126.37628,내리막길,경사구간 : 12˚ / 6m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48309003,126.376232,평지,28m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48288098,126.376034,오르막 시작,경사구간 : 12˚ / 10m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48282499,126.375987,오르막 끝. 내리막 시작,경사구간 : 10˚ / 8m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48277001,126.375937,내리막 끝,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48271804,126.375884,오르막 시작,경사구간 : 5˚ / 5m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48268996,126.375854,오르막 끝. 내리막 시작,경사구간 : 14˚ / 5m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.48255803,126.375729,계단 10개,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.48266004,126.375819,장소,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
