지역이름,지역이름,켭치는 영역 픽셀 수 ,모든 영역 픽셀 수 ,ratio
map-7gGg,구좌읍,97078,1356567,7.16
anduck,조천읍,102602,1078137,9.52
ara,한림읍,66450,662529,10.03
bonggae,한경면,72620,559125,12.99
cheonji,대정읍,53046,549426,9.65
chuja,안덕면,46806,741471,6.31
daecheon,남원읍,134909,1340817,10.06
daejung,표선면,76552,956304,8
daerun,성산읍,45741,788340,5.8
dodu,애월읍,124784,1453041,8.59
donghung,예래동,24338,276144,8.81
ewol,중문동,52153,446328,11.68
guja,대천동,35949,358797,10.02
gunip,영천동,27173,326979,8.31
hangyung,효돈동,13898,45567,30.5
hanlim,송산동,8713,31053,28.06
hwabuck,대륜동,29299,161139,18.18
hyodon,서흥동,22615,95919,23.58
ido11,천지동,6807,12996,52.38
ido2,정방동,1803,4017,44.88
iho,중앙동,2315,2505,92.42
ildo11,동흥동,17443,103473,16.86
ildo2,외도동,17567,63876,27.5
jocheon,이호동,8760,19515,44.89
jungang,도두동,5908,28332,20.85
jungbang,용담2동,15109,36783,41.08
jungmun,노형동,53298,328212,16.24
namwon,연동,25161,90825,27.7
nohyung,오라동,28138,205074,13.72
ora,아라동,50250,514215,9.77
pyosun,봉개동,23031,342663,6.72
samdo1,삼양동,29676,74463,39.85
samdo2,화북동,31292,61908,50.55
samyang,이도2동,32473,41112,78.99
seohung,용담1동,3901,4845,80.52
songsan,삼도1동,6485,6528,99.34
sungsan,삼도2동,4406,6474,68.06
udo,일도2동,16134,17343,93.03
weodo,일도1동,1576,2355,66.92
yeahyeah,건입동,6322,21633,29.22
yeon,이도1동,5432,5676,95.7
yongdam2,우도면,1143,50685,2.26
youngcheon,추자면,1434,65796,2.18
