콘텐츠아이디,콘텐츠분류,제목,지번주소,위도,경도,읍면,시,y,연락처,imgpath,소개
CNTS_200000000014048,음식점,아라서,제주특별자치도 서귀포시 서홍동 443-27,33.2535267,126.5581531,서흥동,서귀포시,11620221.5,0507-1431-7509,https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230315_222%2F1678846421205cJnuH_JPEG%2Fimage.jpg,"흔한 스시오마카세나 고기오마카세가 아닌 진짜 오마카세의 정석!
특별한 날의 특별한 분과의 좋은요리를 함께 하세요."
CNTS_200000000014082,숙박,디앤디파트먼트 제주 droom,제주특별자치도 제주시 삼도이동 1261-6,33.5177377,126.5232359,삼도2동,제주시,14867194.1,064-753-9902,https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230322_125%2F1679461201399byYx1_PNG%2F210610_profile_%25B3%25D7%25B8%25F0.png,D&DEPARTMENT JEJU by ARARIO
CNTS_200000000014171,음식점,한라마테우리,제주특별자치도 제주시 화북일동 4721-24,33.5151364,126.5581849,화북동,제주시,15255134.2,0507-1368-4319,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220212_19%2F1644651791111cGtHI_JPEG%2FKakaoTalk_20220212_163852161.jpg,청정 제주에서 자란 한라마와 채소로 우리 댕댕이를 위한 맛있는 건강식을 만들고 있어요. 
CNTS_200000000012487,관광지,주식회사 비스듬히,제주특별자치도 제주시 봉개동 산 78-1 절물약수암 내,33.4393726,126.6284479,봉개동,제주시,16255479.0,0507-1381-7955,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231224_278%2F1703400558485MOmFJ_JPEG%2F20231219_093433.jpg,비스듬히는 제주절물자연휴양림(절물약수암) 내 제주(자연)문화자원을 활용한 힐링문화컨텐츠를 개발 및 보급하는 기업입니다.
CNTS_200000000007458,숙박,느르왓 민박,제주특별자치도 제주시 한경면 고산리 2157-4,33.305222,126.184135,한경면,제주시,19212878.7,010-7369-9464,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_265%2F1657896674094xTtoB_JPEG%2FFB_IMG_15382199743332.jpg,느르왓은 제주화산석과 화산송이로 꾸며진 돌집(2인)과 친환경 소재인 ALC블럭으로 지어진 숨집(4인) 2개동 으로 이루어진 한달살기 숙소 입니다
CNTS_200000000007996,숙박,더포그레이스 호텔앤리조트,제주특별자치도 서귀포시 성산읍 시흥리 200 ,33.4736223,126.9107438,성산읍,서귀포시,20391161.0,064-797-7700,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_68%2F1679881505112D2cx8_PNG%2F20230327_104141.png,"제주의 청정자연을 즐길 수 있는 올레1코스 내 위치. 포근한 객실에선 성산일출봉&우도의 아름다운 전망을 커플,친구,가족과 함께 누려보세요"
CNTS_200000000007249,테마여행,레더한.,제주특별자치도 서귀포시 남원읍 태흥리 1760-13,33.2922889,126.7393618,남원읍,서귀포시,22686388.4,0507-1314-4248,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240110_72%2F1704863845816mLlKu_JPEG%2FPicsart_24-01-10_13-06-32-710.jpg,제주 함덕에 위치해있는 엔틱한 인테리어의 가죽공방 레더한 입니다!
CNTS_200000000014207,음식점,와랑식탁,제주특별자치도 제주시 한경면 신창리 1317-1,33.3432248,126.1761155,한경면,제주시,24025859.9,0507-1320-9502,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240116_210%2F1705413447019vxzzX_JPEG%2FIMG_8512.jpeg,함께 드실 메뉴는 직접끓인 약간장으로 맛을낸 소보로간장계란밥 과 단짠의 정석 참치샐러드 삼각김밥 함께 판매하고 있어요
CNTS_200000000007627,관광지,한일우호연수원,제주특별자치도 서귀포시 서홍동 731-3,33.2406832,126.5563409,서흥동,서귀포시,25297820.0,064-763-9900,https://postfiles.pstatic.net/MjAyMjA1MzBfMTkx/MDAxNjUzOTA3NjA5Nzc1.nW7-SA6yFJMczI6O9ffBu_2Kj11CLM-1FkPa65YckBsg.UF36jVVtR5SOcusrAdYTH0UkLWV1K7OwFC-B9o-t5msg.JPEG.nalma/SE-455d1bca-86d8-4f6a-ba0f-c035edd54344.jpg?type=w773,나만 알고 싶은 서귀포항 새연교 최고의 뷰 맛집
CNTS_200000000014170,음식점,조셉마켓,제주특별자치도 제주시 삼양일동 1541-5 1층,33.530607,126.5911287,삼양동,제주시,27450263.0,0507-1314-3910,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_240%2F1679891918532wVPhj_JPEG%2FIMG_1681.jpeg,조셉마켓의 레시피는 전통은 고수하면서 프렌치 페이스트리 테크닉을 접목하여 독특한 풍미의 진정한 맛의 향연을 선사합니다.
CNTS_200000000014202,음식점,식전당포,제주특별자치도 제주시 이도이동 1188-31,33.4975615,126.5292883,이도2동,제주시,28454142.7,010-7592-7007,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191104_250%2F1572869933704xp3JX_JPEG%2FMGRCbbOX1o2bE8GNOYWK_ubE.jpg,제주시청 막걸리한잔 걸치는 전집
CNTS_200000000014071,숙박,토리코티지X하시시박,제주특별자치도 제주시 조천읍 조천리 2950,33.5422556,126.6388695,조천읍,제주시,28552229.3,0507-1312-2936,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230308_283%2F1678248537561COVMs_JPEG%2F%25C4%25BF%25B9%25F6%25BB%25E7%25C1%25F8.jpg,하시시박과 콜라보레이션한 독채펜션
CNTS_200000000014246,음식점,풍차로가는길,제주특별자치도 제주시 한경면 신창리 1246-1(풍차로가는길),33.3421944,126.1750178,한경면,제주시,29369609.7,064-773-3999,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221107_201%2F1667801451042vINqe_JPEG%2F%25C7%25B3%25C2%25F7%25B7%25CE%25B0%25A1%25B4%25C2%25B1%25E6_76.jpg,신창풍차해안도로가 보이는 CAFE 풍차로 가는 길
CNTS_200000000014228,음식점,코코메아,제주특별자치도 제주시 한경면 판포리 2582,33.3597187,126.2026079,한경면,제주시,30058974.7,0507-1361-0160,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200814_87%2F1597384561905du8dr_JPEG%2FzShdxyXdLS5nR2Uypz2tP7Zg.jpeg.jpg,"코코메아는 뉴질랜드 마오리어로 Sunset을 뜻합니다.
제주 서쪽 작은 마을, 판포에서 매일 조금씩,
뉴질랜드식 소세지롤과 미트파이를 구워낼 계획이예요."
CNTS_200000000014201,음식점,스팅그레이,제주특별자치도 제주시 한경면 청수리 1158-5,33.3035968,126.2466671,한경면,제주시,30435897.7,0507-1429-2188,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210627_49%2F1624800842199qBqSs_JPEG%2FGK5e9FvrCz18VelsLFfIN5mw.jpg,제주자연을 품은 공간
CNTS_200000000007193,관광지,함덕어촌계,제주특별자치도 제주시 조천읍 함덕리 3150-2,33.5465655,126.6596397,조천읍,제주시,30504155.3,064-782-6768,https://postfiles.pstatic.net/MjAyMzA3MDFfMTE4/MDAxNjg4MTk3OTg5MjA2.VAQH-u5_LKxSXv9BRSGY-QBFDw2Jl18wN7wvZV26oQ4g.Mjot3qqdPnkFMl_rKcNo0foBHU0GvJ7s_DtecC4qWpMg.JPEG.illi2003/1688197989526.jpg?type=w773,함덕 어촌계 해녀상
CNTS_200000000014197,음식점,백수당,제주특별자치도 제주시 구좌읍 월정리 408-1,33.5565256,126.7936052,구좌읍,제주시,31271056.7,0507-1371-9389,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231213_161%2F1702443172130abYeG_JPEG%2FIMG_1089.jpeg,제주도 월정리 카페 백수당
CNTS_200000000014206,관광지,오멍가멍 애견카페&호텔,제주특별자치도 제주시 용담삼동 1206,33.5175216,126.498289,용담2동,제주시,31465328.1,0507-1337-0567,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190221_227%2F15506866952189Im3A_JPEG%2FHB-h7wTk5V0-IQCkXthWZqq5.jpg,"* 수년동안 애견유치원, 애견호텔링, 애견놀이터를 운영하며 매년 2만 마리 이상의 반려견들을 늘 관찰하고 연구하며 함께 지내왔습니다. 새로운 환경에 처음 노출된 반려견, 보호자와 처음 떨어져보는 반려견과 다양한 상황에 대한 데이터가 쌓이고 쌓여 응급상황에 대한 대처능력은 한국에서 누구보다 뛰어난 반려견 전문가라고 자부합니다."
CNTS_200000000012542,음식점,제주설심당 본점,제주특별자치도 제주시 용담삼동 2319-6,33.5194453,126.493001,용담2동,제주시,33081106.1,064-745-2145,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231024_88%2F1698157619155epWJP_JPEG%2FKakaoTalk_20231023_000242751_01.jpg,"원래 추울수록 차가운게 더 땡기는건...저만 그런가요? 몸은 따뜻한데 입은 차가운 그 느낌? 추울수록 더 맛있고 생각나는 빙수 추워진 계절에 딱 어울리는 호떡과 도넛, 단팥죽 여기가 제 겨울집입니다"
CNTS_200000000014221,음식점,나무식탁,제주특별자치도 서귀포시 대정읍 신도리 1407-1,33.2780987,126.1916359,대정읍,서귀포시,35394852.2,070-4208-3858,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180913_253%2F1536818473800NQAOw_JPEG%2FZdNbg4-2kUVTN14Tl0_Y7HYE.JPG.jpg,제주 서쪽 신도리마을에 위치한 부부가 운영하는 공간입니다. 요리하는 남편과 꽃꽂는 아내의 [일본식요리와 식물가게] 입니다.
CNTS_200000000014192,음식점,깅코,제주특별자치도 제주시 연동 260-26,33.4908657,126.488621,연동,제주시,35644165.2,0507-1437-0254,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211110_28%2F1636554636841f7Ma0_JPEG%2FwhkxPM0HWzWCQB1a8_vUlLvN.jpg,제주도 공항근처 연동 애견동반카페 브런치 카페 -
