콘텐츠아이디,제목_x,지번주소_x,위도,경도,조회수,좋아요수,리뷰수,북마크수,소셜네트워크공유수,인기점수,읍면,시,관광객수,카드사용금액,관광지개수,콘텐츠분류.1,콘텐츠분류.2,관광지면적,ratio,rank_,읍면동별_관광지면적,오버투어리즘,인구혼잡도,연락처,imgpath,소개
CNTS_200000000014048,아라서,제주특별자치도 서귀포시 서홍동 443-27,33.2535267,126.5581531,40,0,0,0,0,80,서흥동,서귀포시,460614,19,50,음식점,1,297.5,23.58,0,1601680.9,0.2875816275264318,0,0507-1431-7509,https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230315_222%2F1678846421205cJnuH_JPEG%2Fimage.jpg,"흔한 스시오마카세나 고기오마카세가 아닌 진짜 오마카세의 정석!
특별한 날의 특별한 분과의 좋은요리를 함께 하세요."
CNTS_200000000014082,디앤디파트먼트 제주 droom,제주특별자치도 제주시 삼도이동 1261-6,33.5177377,126.5232359,73,0,0,0,0,146,삼도2동,제주시,2440882,52.1,63,숙박,0,212,68.06,0,660433.3,3.695879659611349,0,064-753-9902,https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230322_125%2F1679461201399byYx1_PNG%2F210610_profile_%25B3%25D7%25B8%25F0.png,D&DEPARTMENT JEJU by ARARIO
CNTS_200000000014171,한라마테우리,제주특별자치도 제주시 화북일동 4721-24,33.5151364,126.5581849,81,0,0,0,0,162,화북동,제주시,878953,19,18,음식점,1,330.6,50.55,0,714664.6,1.2298818214866107,0,0507-1368-4319,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220212_19%2F1644651791111cGtHI_JPEG%2FKakaoTalk_20220212_163852161.jpg,청정 제주에서 자란 한라마와 채소로 우리 댕댕이를 위한 맛있는 건강식을 만들고 있어요. 
CNTS_200000000012487,주식회사 비스듬히,제주특별자치도 제주시 봉개동 산 78-1 절물약수암 내,33.4393726,126.6284479,0,0,0,0,0,0,봉개동,제주시,1800716,19,28,관광지,2,876,6.72,0,494167.6,3.6439378057161176,0,0507-1381-7955,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231224_278%2F1703400558485MOmFJ_JPEG%2F20231219_093433.jpg,비스듬히는 제주절물자연휴양림(절물약수암) 내 제주(자연)문화자원을 활용한 힐링문화컨텐츠를 개발 및 보급하는 기업입니다.
CNTS_200000000007458,느르왓 민박,제주특별자치도 제주시 한경면 고산리 2157-4,33.305222,126.184135,0,0,0,0,0,0,한경면,제주시,3962233,35.7,156,숙박,0,732,12.99,0,4021104.1,0.9853594688085792,0,010-7369-9464,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_265%2F1657896674094xTtoB_JPEG%2FFB_IMG_15382199743332.jpg,느르왓은 제주화산석과 화산송이로 꾸며진 돌집(2인)과 친환경 소재인 ALC블럭으로 지어진 숨집(4인) 2개동 으로 이루어진 한달살기 숙소 입니다
CNTS_200000000007996,더포그레이스 호텔앤리조트,제주특별자치도 서귀포시 성산읍 시흥리 200 ,33.4736223,126.9107438,14,0,0,0,0,28,성산읍,서귀포시,9044676,123,288,숙박,0,296,5.8,0,23366366.2,0.3870809830926984,0,064-797-7700,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_68%2F1679881505112D2cx8_PNG%2F20230327_104141.png,"제주의 청정자연을 즐길 수 있는 올레1코스 내 위치. 포근한 객실에선 성산일출봉&우도의 아름다운 전망을 커플,친구,가족과 함께 누려보세요"
CNTS_200000000014207,와랑식탁,제주특별자치도 제주시 한경면 신창리 1317-1,33.3432248,126.1761155,98,0,0,1,0,196,한경면,제주시,3962233,35.7,156,음식점,1,397.6,12.99,0,4021104.1,0.9853594688085792,0,0507-1320-9502,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240116_210%2F1705413447019vxzzX_JPEG%2FIMG_8512.jpeg,함께 드실 메뉴는 직접끓인 약간장으로 맛을낸 소보로간장계란밥 과 단짠의 정석 참치샐러드 삼각김밥 함께 판매하고 있어요
CNTS_200000000007627,한일우호연수원,제주특별자치도 서귀포시 서홍동 731-3,33.2406832,126.5563409,64,0,0,0,0,128,서흥동,서귀포시,460614,19,50,관광지,2,959,23.58,0,1601680.9,0.2875816275264318,0,064-763-9900,https://postfiles.pstatic.net/MjAyMjA1MzBfMTkx/MDAxNjUzOTA3NjA5Nzc1.nW7-SA6yFJMczI6O9ffBu_2Kj11CLM-1FkPa65YckBsg.UF36jVVtR5SOcusrAdYTH0UkLWV1K7OwFC-B9o-t5msg.JPEG.nalma/SE-455d1bca-86d8-4f6a-ba0f-c035edd54344.jpg?type=w773,나만 알고 싶은 서귀포항 새연교 최고의 뷰 맛집
CNTS_200000000014170,조셉마켓,제주특별자치도 제주시 삼양일동 1541-5 1층,33.530607,126.5911287,177,0,0,0,0,354,삼양동,제주시,884070,19,33,음식점,1,416,39.85,0,253867.4,3.482408532958545,0,0507-1314-3910,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_240%2F1679891918532wVPhj_JPEG%2FIMG_1681.jpeg,조셉마켓의 레시피는 전통은 고수하면서 프렌치 페이스트리 테크닉을 접목하여 독특한 풍미의 진정한 맛의 향연을 선사합니다.
CNTS_200000000014202,식전당포,제주특별자치도 제주시 이도이동 1188-31,33.4975615,126.5292883,83,0,0,1,0,166,이도2동,제주시,2396297,59.7,92,음식점,1,876,78.99,0,1122941,2.133947375685811,0,010-7592-7007,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191104_250%2F1572869933704xp3JX_JPEG%2FMGRCbbOX1o2bE8GNOYWK_ubE.jpg,제주시청 막걸리한잔 걸치는 전집
CNTS_200000000014071,토리코티지X하시시박,제주특별자치도 제주시 조천읍 조천리 2950,33.5422556,126.6388695,112,0,0,0,0,224,조천읍,제주시,9102603,134.3,300,숙박,0,122,9.52,0,16587189.8,0.5487730658269793,0,0507-1312-2936,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230308_283%2F1678248537561COVMs_JPEG%2F%25C4%25BF%25B9%25F6%25BB%25E7%25C1%25F8.jpg,하시시박과 콜라보레이션한 독채펜션
CNTS_200000000014246,풍차로가는길,제주특별자치도 제주시 한경면 신창리 1246-1(풍차로가는길),33.3421944,126.1750178,85,0,0,0,1,170,한경면,제주시,3962233,35.7,156,음식점,1,800,12.99,0,4021104.1,0.9853594688085792,0,064-773-3999,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221107_201%2F1667801451042vINqe_JPEG%2F%25C7%25B3%25C2%25F7%25B7%25CE%25B0%25A1%25B4%25C2%25B1%25E6_76.jpg,신창풍차해안도로가 보이는 CAFE 풍차로 가는 길
